,ts_code,ann_date,f_ann_date,comp_type,net_profit,finan_exp,free_cashflow,im_net_cashflow_oper_act
2171,000902.SZ,20190412,20190412,1,828676996.39,-6695541.74,276801695.0035,185400811.03
2172,000903.SZ,20190430,20190430,1,,,733035621.7051,
2173,000903.SZ,20190315,20190315,1,229616346.91,137449499.28,-32670248.5598,880033892.71
2174,000905.SZ,20190427,20190427,1,,,182861265.73,
2175,000905.SZ,20190309,20190309,1,107066361.41,96418818.06,185704931.3421,224792706.06
2176,000906.SZ,20190425,20190425,1,,,-1052845098.55,
2177,000906.SZ,20190328,20190328,1,307643008.79,349669755.76,732673604.3829,919184157.8
2178,000908.SZ,20190425,20190425,1,,,-187396743.72,
2179,000908.SZ,20190425,20190425,1,198536120.81,83934970.67,349851560.4671,350937845.44
2180,000910.SZ,20190426,20190426,1,,,-456237256.06,
2181,000910.SZ,20190320,20190320,1,764873901.1,5642029.52,107507132.7368,1003486492.2
2182,000911.SZ,20190427,20190427,1,,,,
2183,000911.SZ,20190403,20190403,1,-1382370257.57,260334788.14,,395242458.35
2184,000911.SZ,20190403,20190403,1,-1382370257.57,260334788.14,180280094.85,395242458.35
2185,000912.SZ,20190430,20190430,1,,,-384189003.3944,
2186,000912.SZ,20190320,20190320,1,350238163.42,42546493.35,-1255597973.1367,412932271.98
2187,000913.SZ,20190430,20190430,1,,,108059269.2805,
2188,000913.SZ,20190426,20190426,1,36797552.11,-5298711.15,-287147110.48,-54467390.56
2189,000915.SZ,20190427,20190427,1,,,-372032631.79,
2190,000915.SZ,20190328,20190328,1,239554696.14,1208023.07,278534947.1752,538562683.42
2191,000917.SZ,20190427,20190427,1,,,-1037196440.32,
2192,000917.SZ,20190427,20190427,1,271770686.53,412859309.55,483143565.4657,654630273.24
2193,000918.SZ,20190427,20190427,1,,,,
2194,000918.SZ,20190323,20190323,1,-1654609405.68,686654173.4,3480663141.61,-779238425.54
2195,000919.SZ,20190430,20190430,1,,,-465468394.9626,
2196,000919.SZ,20190326,20190326,1,288878156.76,2812475.4,301496179.1049,433825968.4
2197,000920.SZ,20190427,20190427,1,,,,
2198,000920.SZ,20190427,20190427,1,,,-88448123.42,
2199,000920.SZ,20190329,20190329,1,104426390.6,28091742.14,-110064015.6605,18425370.95
