,ts_code,ann_date,end_date,revenue,operate_profit,n_income,total_assets,diluted_roe
4948,002335.SZ,20180227,20171231,2413186111.67,479397786.9,422991503.73,6243382793.84,12.91
4949,002335.SZ,20170228,20161231,1769996350.07,173143425.56,172493182.08,5058529406.6,7.06
4950,002337.SZ,20190227,20181231,451524727.18,12331875.76,8060485.3,1528159143.93,0.66
4951,002337.SZ,20180213,20171231,572967325.66,-35804029.97,13961055.89,1668193206.42,1.05
4952,002337.SZ,20170227,20161231,382211939.94,-16511212.67,12031394.5,1710401577.13,1.0
4953,002338.SZ,20190227,20181231,381942898.53,49506708.04,40749883.03,988150247.38,5.1
4954,002338.SZ,20180720,20180630,177159891.57,27815577.25,21681379.2,987676374.43,2.73
4955,002338.SZ,20180206,20171231,375863100.67,44640577.81,39453717.64,957893686.98,5.14
4956,002338.SZ,20170719,20170630,174099552.86,23129716.05,26385480.63,984021924.16,3.42
4957,002338.SZ,20170225,20161231,352126395.43,55998813.82,55039610.11,1004626190.91,7.37
4958,002561.SZ,20190222,20181231,2069352600.0,323877100.0,231287400.0,2717317400.0,10.63
4959,002561.SZ,20180227,20171231,2102284017.77,328409825.02,237193963.08,2659395924.66,11.34
4960,002561.SZ,20170221,20161231,2100591227.89,325339100.47,241468451.12,2567211504.51,12.07
4961,002340.SZ,20190222,20181231,13876934586.09,885837266.02,705928926.41,24915689623.7,8.38
4962,002340.SZ,20180228,20171231,10522697235.1,793706521.83,602776820.07,22536927240.15,8.33
4963,002340.SZ,20170228,20161231,7835486677.49,322216035.5,260383029.11,18980107056.0,3.9
4964,002341.SZ,20190228,20181231,3244484300.0,289824400.0,314399100.0,9846166100.0,6.89
4965,002341.SZ,20170228,20161231,1558300432.03,13435989.42,52104120.17,6369418160.13,3.55
4966,002339.SZ,20190228,20181231,1962556336.63,103876804.11,71614789.46,3727404839.78,4.04
4967,002339.SZ,20180228,20171231,1633122690.97,94940749.66,66184685.49,3655105644.95,4.15
4968,002339.SZ,20170228,20161231,1421634843.83,85191638.83,79115030.5,2938249432.02,5.27
4969,002344.SZ,20190228,20181231,1714229000.0,478246600.0,364636800.0,11035611800.0,4.59
4970,002344.SZ,20180227,20171231,1886436000.0,410115600.0,300080300.0,10589205600.0,4.16
4971,002344.SZ,20170228,20161231,2173000600.0,662073300.0,550199600.0,13113104100.0,10.45
4972,002538.SZ,20190227,20181231,3242068400.0,384773900.0,305656000.0,5185279000.0,8.95
4973,002538.SZ,20180228,20171231,2679160500.0,216449200.0,202821300.0,4480242600.0,6.23
4974,002538.SZ,20170228,20161231,2840821500.0,226643800.0,248343000.0,4701250400.0,8.04
4975,002342.SZ,20190228,20181231,1685679100.0,21053900.0,17851600.0,3995732500.0,0.74
4976,002342.SZ,20180228,20171231,1415941100.0,-23546600.0,-17161800.0,4108452800.0,-0.72
4977,002342.SZ,20170228,20161231,1365069900.0,11942000.0,20984100.0,4071867300.0,0.86
4978,300031.SZ,20190228,20181231,2155346886.33,307063657.31,276508549.55,3248000568.41,11.8
4979,300031.SZ,20180228,20171231,1511811802.06,245011754.94,225307124.6,3225474724.43,8.96
4980,300031.SZ,20170228,20161231,1465741193.64,210206043.55,142270143.08,3134086748.49,7.12
4981,300139.SZ,20190228,20181231,207151800.0,-1814300.0,3701900.0,1453412800.0,0.33
4982,300139.SZ,20180228,20171231,138011800.0,-161467400.0,-188968400.0,1489776000.0,-15.58
4983,300139.SZ,20170228,20161231,225043558.39,31350793.66,27983960.99,1451076368.29,2.17
4984,002343.SZ,20190223,20181231,1269077901.05,-1028380321.4,-1084282675.9,3142059134.81,-46.0
4985,002343.SZ,20180208,20171231,1670974849.68,388143021.0,428246992.53,5398553319.04,27.76
4986,002343.SZ,20170228,20161231,1831215299.7,400269646.77,292965720.46,3990857904.28,23.82
4987,002345.SZ,20190223,20181231,3249973529.55,106333452.59,70208250.19,5463606807.93,2.07
4988,002345.SZ,20180228,20171231,3072943567.04,333642100.13,290108669.94,5425304321.12,9.6
4989,002345.SZ,20170228,20161231,2744991300.14,268755770.2,240234108.95,4590494377.33,9.19
4990,002347.SZ,20190227,20181231,746244400.0,22251800.0,18381500.0,2233922600.0,1.61
4991,002347.SZ,20180213,20171231,438258800.0,-93950300.0,-74233600.0,1996386300.0,-6.28
4992,002347.SZ,20170221,20161231,366846800.0,5107000.0,9809200.0,1800008400.0,0.81
4993,002346.SZ,20190228,20181231,548702750.4,90035622.04,63908316.94,2508054084.62,3.27
4994,002346.SZ,20180228,20171231,453212633.79,79924172.01,261748732.85,2460035027.11,13.94
4995,002346.SZ,20170228,20161231,423834228.22,38212858.99,20803913.68,1934367164.64,1.34
4996,002348.SZ,20190228,20181231,850134670.33,51921645.15,21205070.55,1834475142.38,3.2259
4997,002348.SZ,20190228,20181231,830248170.87,38222097.64,11282762.71,1860470313.66,0.8
4998,002348.SZ,20180228,20171231,661559507.48,43441480.53,53247415.04,1827889608.49,4.24
